Id,Attributes,Name,Vintage,Appellation,Region,WineType,Vineyard,RatingScore,PriceRetail,UnqWordInd,Attribute_94+ Rated Wine,Attribute_Big &amp; Bold,Attribute_Boutique Wines,Attribute_Business Gifts,Attribute_Collectible Wines,Attribute_Earthy &amp; Spicy,Attribute_Great Bottles to Give,Attribute_Green Wines,Attribute_Kosher Wines,Attribute_Older Vintages,Attribute_Private Cellar List,Attribute_Rich &amp; Creamy,Attribute_Screw Cap Wines,Attribute_Smooth &amp; Supple,Region_California,Region_Israel,Region_Italy,Region_South Africa,Region_South America,Region_Spain,Region_Washington
136873,Boutique Wines,Diamond Creek Volcanic Hill Cabernet Sauvignon 2012,2012,Napa Valley,California,Cabernet Sauvignon,Diamond Creek,98,199.99,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
131479,Big &amp; Bold,Switchback Ridge Cabernet Sauvignon Peterson Family Vineyard 2001,2001,Napa Valley,California,Cabernet Sauvignon,Switchback Ridge,98,179.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
126603,Collectible Wines,Philip Togni Cabernet Sauvignon 1997,1997,Napa Valley,California,Cabernet Sauvignon,Philip Togni,98,219.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107971,Collectible Wines,Caymus Special Selection Cabernet Sauvignon (3 Liter) 2008,2008,Napa Valley,California,Cabernet Sauvignon,Caymus,98,599.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
129381,Collectible Wines,Dunn Howell Mountain Cabernet Sauvignon 2010,2010,Napa Valley,California,Cabernet Sauvignon,Dunn Vineyards,98,99.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143956,Big &amp; Bold,CADE Reserve Cabernet Sauvignon 2012,2012,Napa Valley,California,Cabernet Sauvignon,CADE Winery,98,180.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75752,Collectible Wines,Quilceda Creek Cabernet Sauvignon 2001,2001,Columbia Valley,Washington,Cabernet Sauvignon,Quilceda Creek Vintners,98,228.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140368,Collectible Wines,Bryant Family Cabernet Sauvignon 2012,2012,Napa Valley,California,Cabernet Sauvignon,Bryant Family,98,799.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
121673,Collectible Wines,Quilceda Creek Galitzine Vineyard Cabernet Sauvignon 2008,2008,Columbia Valley,Washington,Cabernet Sauvignon,Quilceda Creek Vintners,98,149.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123094,Collectible Wines,Quilceda Creek Cabernet Sauvignon (1.5 Liter Magnum) 2010,2010,Columbia Valley,Washington,Cabernet Sauvignon,Quilceda Creek Vintners,98,499.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126602,Collectible Wines,Philip Togni Cabernet Sauvignon (1.5 Liter Magnum) 1997,1997,Napa Valley,California,Cabernet Sauvignon,Philip Togni,98,349.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
118133,Collectible Wines,Quilceda Creek Cabernet Sauvignon (1.5 Liter Magnum) 2009,2009,Columbia Valley,Washington,Cabernet Sauvignon,Quilceda Creek Vintners,98,499.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113375,Collectible Wines,O'Shaughnessy Mt. Veeder Cabernet Sauvignon 2008,2008,Napa Valley,California,Cabernet Sauvignon,O'Shaughnessy,98,109.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108923,Collectible Wines,Leonetti Cabernet Sauvignon 2008,2008,Walla Walla Valley,Washington,Cabernet Sauvignon,Leonetti Cellar,98,94.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89049,Collectible Wines,Branson Coach House Coach House Block Cabernet Sauvignon 2004,2004,Barossa Valley,Australia,Cabernet Sauvignon,Branson Coach House,98,99.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120834,Collectible Wines,Von Strasser Estate Diamond Mountain Cabernet Sauvignon 2009,2009,Napa Valley,California,Cabernet Sauvignon,Von Strasser Vineyards,98,71.99,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
127917,Collectible Wines,Bond Pluribus Cabernet Sauvignon 2003,2003,Napa Valley,California,Cabernet Sauvignon,Bond,98,199.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
137060,Collectible Wines,Lewelling Wight Vineyard Cabernet Sauvignon 2008,2008,Napa Valley,California,Cabernet Sauvignon,Lewelling,98,159.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52601,Collectible Wines,Quilceda Creek Cabernet Sauvignon 1999,1999,Columbia Valley,Washington,Cabernet Sauvignon,Quilceda Creek Vintners,98,199.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140994,Great Bottles to Give,Caymus Special Selection Cabernet Sauvignon 2012,2012,Napa Valley,California,Cabernet Sauvignon,Caymus,98,159.99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111932,Big &amp; Bold,CADE Estate Cabernet Sauvignon 2008,2008,Napa Valley,California,Cabernet Sauvignon,CADE Winery,98,134.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106392,Big &amp; Bold,Caymus Special Selection Cabernet Sauvignon 2008,2008,Napa Valley,California,Cabernet Sauvignon,Caymus,98,130.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22626,Collectible Wines,Chateau Montelena Estate Cabernet Sauvignon 1997,1997,Napa Valley,California,Cabernet Sauvignon,Chateau Montelena,98,199.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
127868,Collectible Wines,Cayuse Widowmaker Cabernet Sauvignon 2007,2007,Walla Walla Valley,Washington,Cabernet Sauvignon,Cayuse,98,319.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125149,Collectible Wines,Chateau Montelena Estate Cabernet Sauvignon 1987,1987,Napa Valley,California,Cabernet Sauvignon,Chateau Montelena,98,239.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
128847,Collectible Wines,Noon Reserve Cabernet Sauvignon 2003,2003,McLaren Vale,Australia,Cabernet Sauvignon,Noon,98,159.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121664,Big &amp; Bold,Pride Mountain Vineyards Reserve Cabernet Sauvignon 2006,2006,North Coast,California,Cabernet Sauvignon,Pride Mountain Vineyards,98,199.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114123,Collectible Wines,Quilceda Creek Cabernet Sauvignon (1.5 Liter Magnum) 2001,2001,Columbia Valley,Washington,Cabernet Sauvignon,Quilceda Creek Vintners,98,419.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126490,Big &amp; Bold,Araujo Eisele Vineyard Cabernet Sauvignon 1995,1995,Napa Valley,California,Cabernet Sauvignon,Araujo,98,259.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107463,Big &amp; Bold,Staglin Cabernet Sauvignon 2007,2007,Napa Valley,California,Cabernet Sauvignon,Staglin Family Vineyard,98,189.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
132540,Collectible Wines,Hourglass Cabernet Sauvignon 2002,2002,Napa Valley,California,Cabernet Sauvignon,Hourglass,98,199.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
119828,Collectible Wines,Chateau Montelena Estate Cabernet Sauvignon (1.5 Liter Magnum) 1997,1997,Other California,California,Cabernet Sauvignon,Chateau Montelena,98,379.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
119310,Collectible Wines,Bryant Family Cabernet Sauvignon 2006,2006,Napa Valley,California,Cabernet Sauvignon,Bryant Family,98,419.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
126488,Big &amp; Bold,Araujo Eisele Vineyard Cabernet Sauvignon (1.5L Magnum) 1995,1995,Napa Valley,California,Cabernet Sauvignon,Araujo,98,519.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
137681,Collectible Wines,Dalla Valle Cabernet Sauvignon 2010,2010,Napa Valley,California,Cabernet Sauvignon,Dalla Valle,98,259.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
140757,Collectible Wines,Groth Reserve Cabernet Sauvignon 1985,1985,Napa Valley,California,Cabernet Sauvignon,Groth Vineyards & Winery,98,369.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117817,Collectible Wines,Quilceda Creek Cabernet Sauvignon 2009,2009,Columbia Valley,Washington,Cabernet Sauvignon,Quilceda Creek Vintners,98,279.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139701,Collectible Wines,O'Shaughnessy Mt. Veeder Cabernet Sauvignon (1.5 Liter Magnum) 2008,2008,Napa Valley,California,Cabernet Sauvignon,O'Shaughnessy,98,259.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
